CAxisLocation_0,CAxisLocation_1,CAxisLocation_2
0.44171062,-0.89630163,0.039181553
0.40622884,-0.91333419,0.028262934
0.36665601,-0.93010736,0.021538099
0.32351282,-0.9460277,0.019266814
0.27740812,-0.96051079,0.021538137
0.22901082,-0.97301352,0.028262928
0.17901382,-0.98306608,0.03918153
0.12809835,-0.99029666,0.053883877
0.076905482,-0.99444675,0.07184156
0.026009176,-0.99537802,0.092445642
0.44150233,-0.89446938,0.070712425
0.41786543,-0.90693265,0.053494271
0.38863093,-0.92056251,0.039124034
0.35403964,-0.93480241,0.028292838
0.31453121,-0.94900239,0.021554371
0.27072984,-0.9624626,0.019266814
0.22340763,-0.97448677,0.021554407
0.17343214,-0.98443937,0.028292865
0.12170915,-0.99179441,0.039124016
0.069121338,-0.99617302,0.053494237
0.016479375,-0.99736065,0.07071244
0.4140977,-0.90693265,0.077435128
0.3584635,-0.93206525,0.052520361
0.33262807,-0.94225746,0.038852144
0.30013844,-0.95347667,0.028270269
0.2614443,-0.96497768,0.021564718
0.21732485,-0.97590923,0.019266784
0.16883954,-0.98540759,0.0215647
0.11722635,-0.99270278,0.028270284
0.063782148,-0.99720728,0.038852129
0.0097443759,-0.99857235,0.05252032
-0.040536944,-0.99617296,0.077435076
0.38164258,-0.92056262,0.083147742
0.32986185,-0.94225752,0.057809483
0.27193025,-0.96156186,0.038115658
0.24384163,-0.96940684,0.028138723
0.2073399,-0.97803128,0.021565016
0.16342464,-0.98636776,0.019266784
0.11373327,-0.99327725,0.021565059
0.060309894,-0.99778306,0.02813869
0.0052837883,-0.99925941,0.038115613
-0.047283549,-0.99720728,0.057809483
-0.097109377,-0.99179441,0.083147727
0.34421906,-0.93480241,0.087508559
0.29502439,-0.95347661,0.061991904
0.24184743,-0.96940678,0.041956693
0.18275934,-0.9827677,0.027689686
0.15177649,-0.9881801,0.021540605
0.10915433,-0.99383813,0.019266784
0.05796317,-0.99808633,0.021540551
0.0025524795,-0.99961334,0.027689669
-0.051659714,-0.99778301,0.041956726
-0.10343205,-0.99270278,0.061991941
-0.15238591,-0.98443937,0.087508552
0.3020772,-0.94900239,0.090243831
0.25423381,-0.96497774,0.064677872
0.20364191,-0.97803128,0.044551671
0.15032184,-0.98818016,0.030056586
0.091822699,-0.9955458,0.021379398
0.054638676,-0.9983204,0.019266754
0.00098397594,-0.999771,0.021379383
-0.054040246,-0.99808633,0.030056596
-0.10684329,-0.99327725,0.044551693
-0.15744376,-0.98540765,0.064677849
-0.20550309,-0.97448689,0.090243816
0.25564209,-0.96246248,0.091176145
0.20808028,-0.97590923,0.065604106
0.1581496,-0.98636776,0.045469504
0.10643116,-0.99383807,0.030956326
0.053515639,-0.99832034,0.022195779
0,-0.99981445,0.019266784
